Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 17:23	And Abraham took Ishmael his son, and all that were born in his house, and all that were bought with his money, every male among the men of Abraham's house; and circumcised the flesh of their foreskin in the selfsame day, as God had said unto him.
Genesis 18:6	And Abraham hastened into the tent unto Sarah, and said, Make ready quickly three measures of fine meal, knead it, and make cakes upon the hearth.
Genesis 18:16	And the men rose up from thence, and looked toward Sodom: and Abraham went with them to bring them on the way.
Genesis 18:26	And the LORD said, If I find in Sodom fifty righteous within the city, then I will spare all the place for their sakes.
Genesis 19:3	And he pressed upon them greatly; and they turned in unto him, and entered into his house; and he made them a feast, and did bake unleavened bread, and they did eat.
Genesis 19:13	For we will destroy this place, because the cry of them is waxen great before the face of the LORD; and the LORD hath sent us to destroy it.
Genesis 19:23	The sun was risen upon the earth when Lot entered into Zoar.
Genesis 19:33	And they made their father drink wine that night: and the firstborn went in, and lay with her father; and he perceived not when she lay down, nor when she arose.
Genesis 20:5	Said he not unto me, She is my sister? and she, even she herself said, He is my brother: in the integrity of my heart and innocency of my hands have I done this.
Genesis 20:15	And Abimelech said, Behold, my land is before thee: dwell where it pleaseth thee.
Genesis 21:7	And she said, Who would have said unto Abraham, that Sarah should have given children suck? for I have born him a son in his old age.
Genesis 21:17	And God heard the voice of the lad; and the angel of God called to Hagar out of heaven, and said unto her, What aileth thee, Hagar? fear not; for God hath heard the voice of the lad where he is.
Genesis 21:27	And Abraham took sheep and oxen, and gave them unto Abimelech; and both of them made a covenant.
Genesis 22:3	And Abraham rose up early in the morning, and saddled his ass, and took two of his young men with him, and Isaac his son, and clave the wood for the burnt offering, and rose up, and went unto the place of which God had told him.
Genesis 22:13	And Abraham lifted up his eyes, and looked, and behold behind him a ram caught in a thicket by his horns: and Abraham went and took the ram, and offered him up for a burnt offering in the stead of his son.
Genesis 22:23	And Bethuel begat Rebekah: these eight Milcah did bear to Nahor, Abraham's brother.
Genesis 23:9	That he may give me the cave of Machpelah, which he hath, which is in the end of his field; for as much money as it is worth he shall give it me for a possession of a buryingplace amongst you.
Genesis 23:19	And after this, Abraham buried Sarah his wife in the cave of the field of Machpelah before Mamre: the same is Hebron in the land of Canaan.
Genesis 24:9	And the servant put his hand under the thigh of Abraham his master, and sware to him concerning that matter.
Genesis 24:19	And when she had done giving him drink, she said, I will draw water for thy camels also, until they have done drinking.
Genesis 24:29	And Rebekah had a brother, and his name was Laban: and Laban ran out unto the man, unto the well.
Genesis 24:39	And I said unto my master, Peradventure the woman will not follow me.
Genesis 24:49	And now if ye will deal kindly and truly with my master, tell me: and if not, tell me; that I may turn to the right hand, or to the left.
Genesis 24:59	And they sent away Rebekah their sister, and her nurse, and Abraham's servant, and his men.
Genesis 25:2	And she bare him Zimran, and Jokshan, and Medan, and Midian, and Ishbak, and Shuah.
Genesis 25:12	Now these are the generations of Ishmael, Abraham's son, whom Hagar the Egyptian, Sarah's handmaid, bare unto Abraham:
Genesis 25:22	And the children struggled together within her; and she said, If it be so, why am I thus? And she went to inquire of the LORD.
Genesis 25:32	And Esau said, Behold, I am at the point to die: and what profit shall this birthright do to me?
Genesis 26:8	And it came to pass, when he had been there a long time, that Abimelech king of the Philistines looked out at a window, and saw, and, behold, Isaac was sporting with Rebekah his wife.
Genesis 26:18	And Isaac digged again the wells of water, which they had digged in the days of Abraham his father; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which his father had called them.
Genesis 26:28	And they said, We saw certainly that the LORD was with thee: and we said, Let there be now an oath betwixt us, even betwixt us and thee, and let us make a covenant with thee;
Genesis 27:3	Now therefore take, I pray thee, thy weapons, thy quiver and thy bow, and go out to the field, and take me some venison;
Genesis 27:13	And his mother said unto him, Upon me be thy curse, my son: only obey my voice, and go fetch me them.
Genesis 27:23	And he discerned him not, because his hands were hairy, as his brother Esau's hands: so he blessed him.
Genesis 27:33	And Isaac trembled very exceedingly, and said, Who? where is he that hath taken venison, and brought it me, and I have eaten of all before thou camest, and have blessed him? yea, and he shall be blessed.
Genesis 27:43	Now therefore, my son, obey my voice; arise, flee thou to Laban my brother to Haran;
Genesis 28:7	And that Jacob obeyed his father and his mother, and was gone to Padanaram;
Genesis 28:17	And he was afraid, and said, How dreadful is this place! this is none other but the house of God, and this is the gate of heaven.
Genesis 29:5	And he said unto them, Know ye Laban the son of Nahor? And they said, We know him.
Genesis 29:15	And Laban said unto Jacob, Because thou art my brother, shouldest thou therefore serve me for nought? tell me, what shall thy wages be?
Genesis 29:25	And it came to pass, that in the morning, behold, it was Leah: and he said to Laban, What is this thou hast done unto me? did not I serve with thee for Rachel? wherefore then hast thou beguiled me?
Genesis 29:35	And she conceived again, and bare a son: and she said, Now will I praise the LORD: therefore she called his name Judah; and left bearing.
Genesis 30:10	And Zilpah Leah's maid bare Jacob a son.
Genesis 30:20	And Leah said, God hath endued me with a good dowry; now will my husband dwell with me, because I have born him six sons: and she called his name Zebulun.
Genesis 30:30	For it was little which thou hadst before I came, and it is now increased unto a multitude; and the LORD hath blessed thee since my coming: and now when shall I provide for mine own house also?
Genesis 30:40	And Jacob did separate the lambs, and set the faces of the flocks toward the ring-streaked, and all the brown in the flock of Laban; and he put his own flocks by themselves, and put them not unto Laban's cattle.
Genesis 31:7	And your father hath deceived me, and changed my wages ten times; but God suffered him not to hurt me.
Genesis 31:17	Then Jacob rose up, and set his sons and his wives upon camels;
Genesis 31:27	Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?
Genesis 31:37	Whereas thou hast searched all my stuff, what hast thou found of all thy household stuff? set it here before my brethren and thy brethren, that they may judge betwixt us both.
Genesis 31:47	And Laban called it Jegarsahadutha: but Jacob called it Galeed.
Genesis 32:2	And when Jacob saw them, he said, This is God's host: and he called the name of that place Mahanaim.
Genesis 32:12	And thou saidst, I will surely do thee good, and make thy seed as the sand of the sea, which cannot be numbered for multitude.
Genesis 32:22	And he rose up that night, and took his two wives, and his two womenservants, and his eleven sons, and passed over the ford Jabbok.
Genesis 32:32	Therefore the children of Israel eat not of the sinew which shrank, which is upon the hollow of the thigh, unto this day: because he touched the hollow of Jacob's thigh in the sinew that shrank.
Genesis 33:10	And Jacob said, Nay, I pray thee, if now I have found grace in thy sight, then receive my present at my hand: for therefore I have seen thy face, as though I had seen the face of God, and thou wast pleased with me.
Genesis 33:20	And he erected there an altar, and called it EleloheIsrael.
Genesis 34:10	And ye shall dwell with us: and the land shall be before you; dwell and trade ye therein, and get you possessions therein.
Genesis 34:20	And Hamor and Shechem his son came unto the gate of their city, and communed with the men of their city, saying,
Genesis 34:30	And Jacob said to Simeon and Levi, Ye have troubled me to make me to stink among the inhabitants of the land, among the Canaanites and the Perizzites: and I being few in number, they shall gather themselves together against me, and slay me; and I shall be destroyed, I and my house.
Genesis 35:9	And God appeared unto Jacob again, when he came out of Padanaram, and blessed him.
Genesis 35:19	And Rachel died, and was buried in the way to Ephrath, which is Bethlehem.
Genesis 35:29	And Isaac gave up the ghost, and died, and was gathered unto his people, being old and full of days: and his sons Esau and Jacob buried him.
Genesis 36:10	These are the names of Esau's sons; Eliphaz the son of Adah the wife of Esau, Reuel the son of Bashemath the wife of Esau.
Genesis 36:20	These are the sons of Seir the Horite, who inhabited the land; Lotan, and Shobal, and Zibeon, and Anah,
Genesis 36:30	Duke Dishon, duke Ezer, duke Dishan: these are the dukes that came of Hori, among their dukes in the land of Seir.
Genesis 36:40	And these are the names of the dukes that came of Esau, according to their families, after their places, by their names; duke Timnah, duke Alvah, duke Jetheth,
Genesis 37:7	For, behold, we were binding sheaves in the field, and, lo, my sheaf arose, and also stood upright; and, behold, your sheaves stood round about, and made obeisance to my sheaf.
Genesis 37:17	And the man said, They are departed hence; for I heard them say, Let us go to Dothan. And Joseph went after his brethren, and found them in Dothan.
Genesis 37:27	Come, and let us sell him to the Ishmaelites, and let not our hand be upon him; for he is our brother and our flesh. And his brethren were content.
Genesis 38:1	And it came to pass at that time, that Judah went down from his brethren, and turned in to a certain Adullamite, whose name was Hirah.
Genesis 38:11	Then said Judah to Tamar his daughter in law, Remain a widow at thy father's house, till Shelah my son be grown: for he said, Lest peradventure he die also, as his brethren did. And Tamar went and dwelt in her father's house.
Genesis 38:21	Then he asked the men of that place, saying, Where is the harlot, that was openly by the way side? And they said, There was no harlot in this place.
Genesis 39:1	And Joseph was brought down to Egypt; and Potiphar, an officer of Pharaoh, captain of the guard, an Egyptian, bought him of the hands of the Ishmaelites, which had brought him down thither.
Genesis 39:11	And it came to pass about this time, that Joseph went into the house to do his business; and there was none of the men of the house there within.
Genesis 39:21	But the LORD was with Joseph, and showed him mercy, and gave him favor in the sight of the keeper of the prison.
Genesis 40:8	And they said unto him, We have dreamed a dream, and there is no interpreter of it. And Joseph said unto them, Do not interpretations belong to God? tell me them, I pray you.
Genesis 40:18	And Joseph answered and said, This is the interpretation thereof: The three baskets are three days:
Genesis 41:5	And he slept and dreamed the second time: and, behold, seven ears of corn came up upon one stalk, rank and good.
Genesis 41:15	And Pharaoh said unto Joseph, I have dreamed a dream, and there is none that can interpret it: and I have heard say of thee, that thou canst understand a dream to interpret it.
Genesis 41:25	And Joseph said unto Pharaoh, The dream of Pharaoh is one: God hath showed Pharaoh what he is about to do.
Genesis 41:35	And let them gather all the food of those good years that come, and lay up corn under the hand of Pharaoh, and let them keep food in the cities.
Genesis 41:45	And Pharaoh called Joseph's name Zaphnathpaaneah; and he gave him to wife Asenath the daughter of Potipherah priest of On. And Joseph went out over all the land of Egypt.
Genesis 41:55	And when all the land of Egypt was famished, the people cried to Pharaoh for bread: and Pharaoh said unto all the Egyptians, Go unto Joseph; what he saith to you, do.
Genesis 42:8	And Joseph knew his brethren, but they knew not him.
Genesis 42:18	And Joseph said unto them the third day, This do, and live; for I fear God:
Genesis 42:28	And he said unto his brethren, My money is restored; and, lo, it is even in my sack: and their heart failed them, and they were afraid, saying one to another, What is this that God hath done unto us?
Genesis 42:38	And he said, My son shall not go down with you; for his brother is dead, and he is left alone: if mischief befall him by the way in the which ye go, then shall ye bring down my gray hairs with sorrow to the grave.
Genesis 43:10	For except we had lingered, surely now we had returned this second time.
Genesis 43:20	And said, O sir, we came indeed down at the first time to buy food:
Genesis 43:30	And Joseph made haste; for his bowels did yearn upon his brother: and he sought where to weep; and he entered into his chamber, and wept there.
Genesis 44:6	And he overtook them, and he spake unto them these same words.
Genesis 44:16	And Judah said, What shall we say unto my lord? what shall we speak? or how shall we clear ourselves? God hath found out the iniquity of thy servants: behold, we are my lord's servants, both we, and he also with whom the cup is found.
Genesis 44:26	And we said, We cannot go down: if our youngest brother be with us, then will we go down: for we may not see the man's face, except our youngest brother be with us.
Genesis 45:2	And he wept aloud: and the Egyptians and the house of Pharaoh heard.
Genesis 45:12	And, behold, your eyes see, and the eyes of my brother Benjamin, that it is my mouth that speaketh unto you.
Genesis 45:22	To all of them he gave each man changes of raiment; but to Benjamin he gave three hundred pieces of silver, and five changes of raiment.
Genesis 46:4	I will go down with thee into Egypt; and I will also surely bring thee up again: and Joseph shall put his hand upon thine eyes.
Genesis 46:14	And the sons of Zebulun; Sered, and Elon, and Jahleel.
Genesis 46:24	And the sons of Naphtali; Jahzeel, and Guni, and Jezer, and Shillem.
Genesis 46:34	That ye shall say, Thy servants' trade hath been about cattle from our youth even until now, both we, and also our fathers: that ye may dwell in the land of Goshen; for every shepherd is an abomination unto the Egyptians.
Genesis 47:10	And Jacob blessed Pharaoh, and went out from before Pharaoh.
Genesis 47:20	And Joseph bought all the land of Egypt for Pharaoh; for the Egyptians sold every man his field, because the famine prevailed over them: so the land became Pharaoh's.
Genesis 47:30	But I will lie with my fathers, and thou shalt carry me out of Egypt, and bury me in their buryingplace. And he said, I will do as thou hast said.
Genesis 48:9	And Joseph said unto his father, They are my sons, whom God hath given me in this place. And he said, Bring them, I pray thee, unto me, and I will bless them.
Genesis 48:19	And his father refused, and said, I know it, my son, I know it: he also shall become a people, and he also shall be great: but truly his younger brother shall be greater than he, and his seed shall become a multitude of nations.
Genesis 49:7	Cursed be their anger, for it was fierce; and their wrath, for it was cruel: I will divide them in Jacob, and scatter them in Israel.
Genesis 49:17	Dan shall be a serpent by the way, an adder in the path, that biteth the horse heels, so that his rider shall fall backward.
Genesis 49:27	Benjamin shall raven as a wolf: in the morning he shall devour the prey, and at night he shall divide the spoil.
Genesis 50:4	And when the days of his mourning were past, Joseph spake unto the house of Pharaoh, saying, If now I have found grace in your eyes, speak, I pray you, in the ears of Pharaoh, saying,
Genesis 50:14	And Joseph returned into Egypt, he, and his brethren, and all that went up with him to bury his father, after he had buried his father.
Genesis 50:24	And Joseph said unto his brethren, I die: and God will surely visit you, and bring you out of this land unto the land which he sware to Abraham, to Isaac, and to Jacob.
Exodus 1:8	Now there arose up a new king over Egypt, which knew not Joseph.
Exodus 1:18	And the king of Egypt called for the midwives, and said unto them, Why have ye done this thing, and have saved the men children alive?
Exodus 2:6	And when she had opened it, she saw the child: and, behold, the babe wept. And she had compassion on him, and said, This is one of the Hebrews' children.
Exodus 2:16	Now the priest of Midian had seven daughters: and they came and drew water, and filled the troughs to water their father's flock.
Exodus 3:1	Now Moses kept the flock of Jethro his father in law, the priest of Midian: and he led the flock to the backside of the desert, and came to the mountain of God, even to Horeb.
Exodus 3:11	And Moses said unto God, Who am I, that I should go unto Pharaoh, and that I should bring forth the children of Israel out of Egypt?
Exodus 3:21	And I will give this people favor in the sight of the Egyptians: and it shall come to pass, that, when ye go, ye shall not go empty.
Exodus 4:9	And it shall come to pass, if they will not believe also these two signs, neither hearken unto thy voice, that thou shalt take of the water of the river, and pour it upon the dry land: and the water which thou takest out of the river shall become blood upon the dry land.
Exodus 4:19	And the LORD said unto Moses in Midian, Go, return into Egypt: for all the men are dead which sought thy life.
Exodus 4:29	And Moses and Aaron went and gathered together all the elders of the children of Israel:
Exodus 5:8	And the tale of the bricks, which they did make heretofore, ye shall lay upon them; ye shall not diminish ought thereof: for they be idle; therefore they cry, saying, Let us go and sacrifice to our God.
Exodus 5:18	Go therefore now, and work; for there shall no straw be given you, yet shall ye deliver the tale of bricks.
Exodus 6:5	And I have also heard the groaning of the children of Israel, whom the Egyptians keep in bondage; and I have remembered my covenant.
Exodus 6:15	And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman: these are the families of Simeon.
Exodus 6:25	And Eleazar Aaron's son took him one of the daughters of Putiel to wife; and she bare him Phinehas: these are the heads of the fathers of the Levites according to their families.
Exodus 7:5	And the Egyptians shall know that I am the LORD, when I stretch forth mine hand upon Egypt, and bring out the children of Israel from among them.
Exodus 7:15	Get thee unto Pharaoh in the morning; lo, he goeth out unto the water; and thou shalt stand by the river's brink against he come; and the rod which was turned to a serpent shalt thou take in thine hand.
Exodus 7:25	And seven days were fulfilled, after that the LORD had smitten the river.
Exodus 8:10	And he said, To morrow. And he said, Be it according to thy word: that thou mayest know that there is none like unto the LORD our God.
Exodus 8:20	And the LORD said unto Moses, Rise up early in the morning, and stand before Pharaoh; lo, he cometh forth to the water; and say unto him, Thus saith the LORD, Let my people go, that they may serve me.
Exodus 8:30	And Moses went out from Pharaoh, and entreated the LORD.
Exodus 9:8	And the LORD said unto Moses and unto Aaron, Take to you handfuls of ashes of the furnace, and let Moses sprinkle it toward the heaven in the sight of Pharaoh.
Exodus 9:18	Behold, to morrow about this time I will cause it to rain a very grievous hail, such as hath not been in Egypt since the foundation thereof even until now.
Exodus 9:28	Entreat the LORD (for it is enough) that there be no more mighty thunderings and hail; and I will let you go, and ye shall stay no longer.
Exodus 10:3	And Moses and Aaron came in unto Pharaoh, and said unto him, Thus saith the LORD God of the Hebrews, How long wilt thou refuse to humble thyself before me? let my people go, that they may serve me.
Exodus 10:13	And Moses stretched forth his rod over the land of Egypt, and the LORD brought an east wind upon the land all that day, and all that night; and when it was morning, the east wind brought the locusts.
Exodus 10:23	They saw not one another, neither rose any from his place for three days: but all the children of Israel had light in their dwellings.
Exodus 11:4	And Moses said, Thus saith the LORD, About midnight will I go out into the midst of Egypt:
Exodus 12:4	And if the household be too little for the lamb, let him and his neighbor next unto his house take it according to the number of the souls; every man according to his eating shall make your count for the lamb.
Exodus 12:14	And this day shall be unto you for a memorial; and ye shall keep it a feast to the LORD throughout your generations; ye shall keep it a feast by an ordinance for ever.
Exodus 12:24	And ye shall observe this thing for an ordinance to thee and to thy sons for ever.
Exodus 12:34	And the people took their dough before it was leavened, their kneadingtroughs being bound up in their clothes upon their shoulders.
Exodus 12:44	But every man's servant that is bought for money, when thou hast circumcised him, then shall he eat thereof.
Exodus 13:3	And Moses said unto the people, Remember this day, in which ye came out from Egypt, out of the house of bondage; for by strength of hand the LORD brought you out from this place: there shall no leavened bread be eaten.
Exodus 13:13	And every firstling of an ass thou shalt redeem with a lamb; and if thou wilt not redeem it, then thou shalt break his neck: and all the firstborn of man among thy children shalt thou redeem.
Exodus 14:1	And the LORD spake unto Moses, saying,
Exodus 14:11	And they said unto Moses, Because there were no graves in Egypt, hast thou taken us away to die in the wilderness? wherefore hast thou dealt thus with us, to carry us forth out of Egypt?
Exodus 14:21	And Moses stretched out his hand over the sea; and the LORD caused the sea to go back by a strong east wind all that night, and made the sea dry land, and the waters were divided.
Exodus 14:31	And Israel saw that great work which the LORD did upon the Egyptians: and the people feared the LORD, and believed the LORD, and his servant Moses.
Exodus 15:10	Thou didst blow with thy wind, the sea covered them: they sank as lead in the mighty waters.
Exodus 15:20	And Miriam the prophetess, the sister of Aaron, took a timbrel in her hand; and all the women went out after her with timbrels and with dances.
Exodus 16:3	And the children of Israel said unto them, Would to God we had died by the hand of the LORD in the land of Egypt, when we sat by the flesh pots, and when we did eat bread to the full; for ye have brought us forth into this wilderness, to kill this whole assembly with hunger.
Exodus 16:13	And it came to pass, that at even the quails came up, and covered the camp: and in the morning the dew lay round about the host.
Exodus 16:23	And he said unto them, This is that which the LORD hath said, To morrow is the rest of the holy sabbath unto the LORD: bake that which ye will bake to day, and seethe that ye will seethe; and that which remaineth over lay up for you to be kept until the morning.
Exodus 16:33	And Moses said unto Aaron, Take a pot, and put an omer full of manna therein, and lay it up before the LORD, to be kept for your generations.
Exodus 17:7	And he called the name of the place Massah, and Meribah, because of the chiding of the children of Israel, and because they tempted the LORD, saying, Is the LORD among us, or not?
Exodus 18:1	When Jethro, the priest of Midian, Moses' father in law, heard of all that God had done for Moses, and for Israel his people, and that the LORD had brought Israel out of Egypt;
Exodus 18:11	Now I know that the LORD is greater than all gods: for in the thing wherein they dealt proudly he was above them.
Exodus 18:21	Moreover thou shalt provide out of all the people able men, such as fear God, men of truth, hating covetousness; and place such over them, to be rulers of thousands, and rulers of hundreds, rulers of fifties, and rulers of tens:
Exodus 19:4	Ye have seen what I did unto the Egyptians, and how I bare you on eagles' wings, and brought you unto myself.
Exodus 19:14	And Moses went down from the mount unto the people, and sanctified the people; and they washed their clothes.
Exodus 19:24	And the LORD said unto him, Away, get thee down, and thou shalt come up, thou, and Aaron with thee: but let not the priests and the people break through to come up unto the LORD, lest he break forth upon them.
Exodus 20:9	Six days shalt thou labor, and do all thy work:
Exodus 20:19	And they said unto Moses, Speak thou with us, and we will hear: but let not God speak with us, lest we die.
Exodus 21:3	If he came in by himself, he shall go out by himself: if he were married, then his wife shall go out with him.
Exodus 21:13	And if a man lie not in wait, but God deliver him into his hand; then I will appoint thee a place whither he shall flee.
Exodus 21:23	And if any mischief follow, then thou shalt give life for life,
Exodus 21:33	And if a man shall open a pit, or if a man shall dig a pit, and not cover it, and an ox or an ass fall therein;
Exodus 22:7	If a man shall deliver unto his neighbor money or stuff to keep, and it be stolen out of the man's house; if the thief be found, let him pay double.
Exodus 22:17	If her father utterly refuse to give her unto him, he shall pay money according to the dowry of virgins.
Exodus 22:27	For that is his covering only, it is his raiment for his skin: wherein shall he sleep? and it shall come to pass, when he crieth unto me, that I will hear; for I am gracious.
Exodus 23:6	Thou shalt not wrest the judgment of thy poor in his cause.
Exodus 23:16	And the feast of harvest, the firstfruits of thy labors, which thou hast sown in the field: and the feast of ingathering, which is in the end of the year, when thou hast gathered in thy labors out of the field.
Exodus 23:26	There shall nothing cast their young, nor be barren, in thy land: the number of thy days I will fulfil.
Exodus 24:3	And Moses came and told the people all the words of the LORD, and all the judgments: and all the people answered with one voice, and said, All the words which the LORD hath said will we do.
Exodus 24:13	And Moses rose up, and his minister Joshua: and Moses went up into the mount of God.
Exodus 25:5	And rams' skins dyed red, and badgers' skins, and shittim wood,
Exodus 25:15	The staves shall be in the rings of the ark: they shall not be taken from it.
Exodus 25:25	And thou shalt make unto it a border of an hand breadth round about, and thou shalt make a golden crown to the border thereof round about.
Exodus 25:35	And there shall be a knop under two branches of the same, and a knop under two branches of the same, and a knop under two branches of the same, according to the six branches that proceed out of the candlestick.
Exodus 26:5	Fifty loops shalt thou make in the one curtain, and fifty loops shalt thou make in the edge of the curtain that is in the coupling of the second; that the loops may take hold one of another.
Exodus 26:15	And thou shalt make boards for the tabernacle of shittim wood standing up.
Exodus 26:25	And they shall be eight boards, and their sockets of silver, sixteen sockets; two sockets under one board, and two sockets under another board.
Exodus 26:35	And thou shalt set the table without the vail, and the candlestick over against the table on the side of the tabernacle toward the south: and thou shalt put the table on the north side.
Exodus 27:8	Hollow with boards shalt thou make it: as it was showed thee in the mount, so shall they make it.
Exodus 27:18	The length of the court shall be an hundred cubits, and the breadth fifty every where, and the height five cubits of fine twined linen, and their sockets of brass.
Exodus 28:7	It shall have the two shoulderpieces thereof joined at the two edges thereof; and so it shall be joined together.
Exodus 28:17	And thou shalt set in it settings of stones, even four rows of stones: the first row shall be a sardius, a topaz, and a carbuncle: this shall be the first row.
Exodus 28:27	And two other rings of gold thou shalt make, and shalt put them on the two sides of the ephod underneath, toward the forepart thereof, over against the other coupling thereof, above the curious girdle of the ephod.
Exodus 28:37	And thou shalt put it on a blue lace, that it may be upon the mitre; upon the forefront of the mitre it shall be.
Exodus 29:4	And Aaron and his sons thou shalt bring unto the door of the tabernacle of the congregation, and shalt wash them with water.
Exodus 29:14	But the flesh of the bullock, and his skin, and his dung, shalt thou burn with fire without the camp: it is a sin offering.
Exodus 29:24	And thou shalt put all in the hands of Aaron, and in the hands of his sons; and shalt wave them for a wave offering before the LORD.
Exodus 29:34	And if ought of the flesh of the consecrations, or of the bread, remain unto the morning, then thou shalt burn the remainder with fire: it shall not be eaten, because it is holy.
Exodus 29:44	And I will sanctify the tabernacle of the congregation, and the altar: I will sanctify also both Aaron and his sons, to minister to me in the priest's office.
Exodus 30:8	And when Aaron lighteth the lamps at even, he shall burn incense upon it, a perpetual incense before the LORD throughout your generations.
Exodus 30:18	Thou shalt also make a laver of brass, and his foot also of brass, to wash withal: and thou shalt put it between the tabernacle of the congregation and the altar, and thou shalt put water therein.
Exodus 30:28	And the altar of burnt offering with all his vessels, and the laver and his foot.
Exodus 30:38	Whosoever shall make like unto that, to smell thereto, shall even be cut off from his people.
Exodus 31:10	And the cloths of service, and the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest's office,
Exodus 32:2	And Aaron said unto them, Break off the golden earrings, which are in the ears of your wives, of your sons, and of your daughters, and bring them unto me.
Exodus 32:12	Wherefore should the Egyptians speak, and say, For mischief did he bring them out, to slay them in the mountains, and to consume them from the face of the earth? Turn from thy fierce wrath, and repent of this evil against thy people.
Exodus 32:22	And Aaron said, Let not the anger of my lord wax hot: thou knowest the people, that they are set on mischief.
Exodus 32:32	Yet now, if thou wilt forgive their sin--; and if not, blot me, I pray thee, out of thy book which thou hast written.
