Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Psalms 62:6	He only is my rock and my salvation: he is my defence; I shall not be moved.
Psalms 63:4	Thus will I bless thee while I live: I will lift up my hands in thy name.
Psalms 64:3	Who whet their tongue like a sword, and bend their bows to shoot their arrows, even bitter words:
Psalms 65:3	Iniquities prevail against me: as for our transgressions, thou shalt purge them away.
Psalms 65:13	The pastures are clothed with flocks; the valleys also are covered over with corn; they shout for joy, they also sing.
Psalms 66:10	For thou, O God, hast proved us: thou hast tried us, as silver is tried.
Psalms 66:20	Blessed be God, which hath not turned away my prayer, nor his mercy from me.
Psalms 68:3	But let the righteous be glad; let them rejoice before God: yea, let them exceedingly rejoice.
Psalms 68:13	Though ye have lien among the pots, yet shall ye be as the wings of a dove covered with silver, and her feathers with yellow gold.
Psalms 68:23	That thy foot may be dipped in the blood of thine enemies, and the tongue of thy dogs in the same.
Psalms 68:33	To him that rideth upon the heavens of heavens, which were of old; lo, he doth send out his voice, and that a mighty voice.
Psalms 69:8	I am become a stranger unto my brethren, and an alien unto my mother's children.
Psalms 69:18	Draw nigh unto my soul, and redeem it: deliver me because of mine enemies.
Psalms 69:28	Let them be blotted out of the book of the living, and not be written with the righteous.
Psalms 70:2	Let them be ashamed and confounded that seek after my soul: let them be turned backward, and put to confusion, that desire my hurt.
Psalms 71:7	I am as a wonder unto many; but thou art my strong refuge.
Psalms 71:17	O God, thou hast taught me from my youth: and hitherto have I declared thy wondrous works.
Psalms 72:3	The mountains shall bring peace to the people, and the little hills, by righteousness.
Psalms 72:13	He shall spare the poor and needy, and shall save the souls of the needy.
Psalms 73:3	For I was envious at the foolish, when I saw the prosperity of the wicked.
Psalms 73:13	Verily I have cleansed my heart in vain, and washed my hands in innocency.
Psalms 73:23	Nevertheless I am continually with thee: thou hast holden me by my right hand.
Psalms 74:5	A man was famous according as he had lifted up axes upon the thick trees.
Psalms 74:15	Thou didst cleave the fountain and the flood: thou driedst up mighty rivers.
Psalms 75:2	When I shall receive the congregation I will judge uprightly.
Psalms 76:2	In Salem also is his tabernacle, and his dwelling place in Zion.
Psalms 76:12	He shall cut off the spirit of princes: he is terrible to the kings of the earth.
Psalms 77:10	And I said, This is my infirmity: but I will remember the years of the right hand of the most High.
Psalms 77:20	Thou leddest thy people like a flock by the hand of Moses and Aaron.
Psalms 78:10	They kept not the covenant of God, and refused to walk in his law;
Psalms 78:20	Behold, he smote the rock, that the waters gushed out, and the streams overflowed; can he give bread also? can he provide flesh for his people?
Psalms 78:30	They were not estranged from their lust. But while their meat was yet in their mouths,
Psalms 78:40	How oft did they provoke him in the wilderness, and grieve him in the desert!
Psalms 78:50	He made a way to his anger; he spared not their soul from death, but gave their life over to the pestilence;
Psalms 78:60	So that he forsook the tabernacle of Shiloh, the tent which he placed among men;
Psalms 78:70	He chose David also his servant, and took him from the sheepfolds:
Psalms 79:8	O remember not against us former iniquities: let thy tender mercies speedily prevent us: for we are brought very low.
Psalms 80:5	Thou feedest them with the bread of tears; and givest them tears to drink in great measure.
Psalms 80:15	And the vineyard which thy right hand hath planted, and the branch that thou madest strong for thyself.
Psalms 81:6	I removed his shoulder from the burden: his hands were delivered from the pots.
Psalms 81:16	He should have fed them also with the finest of the wheat: and with honey out of the rock should I have satisfied thee.
Psalms 83:2	For, lo, thine enemies make a tumult: and they that hate thee have lifted up the head.
Psalms 83:12	Who said, Let us take to ourselves the houses of God in possession.
Psalms 84:4	Blessed are they that dwell in thy house: they will be still praising thee. Selah.
Psalms 85:2	Thou hast forgiven the iniquity of thy people, thou hast covered all their sin. Selah.
Psalms 85:12	Yea, the LORD shall give that which is good; and our land shall yield her increase.
Psalms 86:9	All nations whom thou hast made shall come and worship before thee, O Lord; and shall glorify thy name.
Psalms 87:2	The LORD loveth the gates of Zion more than all the dwellings of Jacob.
Psalms 88:5	Free among the dead, like the slain that lie in the grave, whom thou rememberest no more: and they are cut off from thy hand.
Psalms 88:15	I am afflicted and ready to die from my youth up: while I suffer thy terrors I am distracted.
Psalms 89:7	God is greatly to be feared in the assembly of the saints, and to be had in reverence of all them that are about him.
Psalms 89:17	For thou art the glory of their strength: and in thy favour our horn shall be exalted.
Psalms 89:27	Also I will make him my firstborn, higher than the kings of the earth.
Psalms 89:37	It shall be established for ever as the moon, and as a faithful witness in heaven. Selah.
Psalms 89:47	Remember how short my time is: wherefore hast thou made all men in vain?
Psalms 90:5	Thou carriest them away as with a flood; they are as a sleep: in the morning they are like grass which groweth up.
Psalms 90:15	Make us glad according to the days wherein thou hast afflicted us, and the years wherein we have seen evil.
Psalms 91:8	Only with thine eyes shalt thou behold and see the reward of the wicked.
Psalms 92:2	To shew forth thy lovingkindness in the morning, and thy faithfulness every night,
Psalms 92:12	The righteous shall flourish like the palm tree: he shall grow like a cedar in Lebanon.
Psalms 94:2	Lift up thyself, thou judge of the earth: render a reward to the proud.
Psalms 94:12	Blessed is the man whom thou chastenest, O LORD, and teachest him out of thy law;
Psalms 94:22	But the LORD is my defence; and my God is the rock of my refuge.
Psalms 95:9	When your fathers tempted me, proved me, and saw my work.
Psalms 96:8	Give unto the LORD the glory due unto his name: bring an offering, and come into his courts.
Psalms 97:5	The hills melted like wax at the presence of the LORD, at the presence of the Lord of the whole earth.
Psalms 98:3	He hath remembered his mercy and his truth toward the house of Israel: all the ends of the earth have seen the salvation of our God.
Psalms 99:4	The king's strength also loveth judgment; thou dost establish equity, thou executest judgment and righteousness in Jacob.
Psalms 100:5	For the LORD is good; his mercy is everlasting; and his truth endureth to all generations.
Psalms 102:2	Hide not thy face from me in the day when I am in trouble; incline thine ear unto me: in the day when I call answer me speedily.
Psalms 102:12	But thou, O LORD, shall endure for ever; and thy remembrance unto all generations.
Psalms 102:22	When the people are gathered together, and the kingdoms, to serve the LORD.
Psalms 103:4	Who redeemeth thy life from destruction; who crowneth thee with lovingkindness and tender mercies;
Psalms 103:14	For he knoweth our frame; he remembereth that we are dust.
Psalms 104:2	Who coverest thyself with light as with a garment: who stretchest out the heavens like a curtain:
Psalms 104:12	By them shall the fowls of the heaven have their habitation, which sing among the branches.
Psalms 104:22	The sun ariseth, they gather themselves together, and lay them down in their dens.
Psalms 104:32	He looketh on the earth, and it trembleth: he toucheth the hills, and they smoke.
Psalms 105:7	He is the LORD our God: his judgments are in all the earth.
Psalms 105:17	He sent a man before them, even Joseph, who was sold for a servant:
Psalms 105:27	They shewed his signs among them, and wonders in the land of Ham.
Psalms 105:37	He brought them forth also with silver and gold: and there was not one feeble person among their tribes.
Psalms 106:2	Who can utter the mighty acts of the LORD? who can shew forth all his praise?
Psalms 106:12	Then believed they his words; they sang his praise.
Psalms 106:22	Wondrous works in the land of Ham, and terrible things by the Red sea.
Psalms 106:32	They angered him also at the waters of strife, so that it went ill with Moses for their sakes:
Psalms 106:42	Their enemies also oppressed them, and they were brought into subjection under their hand.
Psalms 107:4	They wandered in the wilderness in a solitary way; they found no city to dwell in.
Psalms 107:14	He brought them out of darkness and the shadow of death, and brake their bands in sunder.
Psalms 107:24	These see the works of the LORD, and his wonders in the deep.
Psalms 107:34	A fruitful land into barrenness, for the wickedness of them that dwell therein.
Psalms 108:1	O god, my heart is fixed; I will sing and give praise, even with my glory.
Psalms 108:11	Wilt not thou, O God, who hast cast us off? and wilt not thou, O God, go forth with our hosts?
Psalms 109:8	Let his days be few; and let another take his office.
Psalms 109:18	As he clothed himself with cursing like as with his garment, so let it come into his bowels like water, and like oil into his bones.
Psalms 109:28	Let them curse, but bless thou: when they arise, let them be ashamed; but let thy servant rejoice.
Psalms 110:7	He shall drink of the brook in the way: therefore shall he lift up the head.
Psalms 111:10	The fear of the LORD is the beginning of wisdom: a good understanding have all they that do his commandments: his praise endureth for ever.
Psalms 112:10	The wicked shall see it, and be grieved; he shall gnash with his teeth, and melt away: the desire of the wicked shall perish.
Psalms 114:1	When Israel went out of Egypt, the house of Jacob from a people of strange language;
Psalms 115:3	But our God is in the heavens: he hath done whatsoever he hath pleased.
Psalms 115:13	He will bless them that fear the LORD, both small and great.
Psalms 116:5	Gracious is the LORD, and righteous; yea, our God is merciful.
Psalms 116:15	Precious in the sight of the LORD is the death of his saints.
Psalms 118:4	Let them now that fear the LORD say, that his mercy endureth for ever.
Psalms 118:14	The LORD is my strength and song, and is become my salvation.
Psalms 118:24	This is the day which the LORD hath made; we will rejoice and be glad in it.
Psalms 119:5	O that my ways were directed to keep thy statutes!
Psalms 119:15	I will meditate in thy precepts, and have respect unto thy ways.
Psalms 119:25	My soul cleaveth unto the dust: quicken thou me according to thy word.
Psalms 119:35	Make me to go in the path of thy commandments; for therein do I delight.
Psalms 119:45	And I will walk at liberty: for I seek thy precepts.
Psalms 119:55	I have remembered thy name, O LORD, in the night, and have kept thy law.
Psalms 119:65	Thou hast dealt well with thy servant, O LORD, according unto thy word.
Psalms 119:75	I know, O LORD, that thy judgments are right, and that thou in faithfulness hast afflicted me.
Psalms 119:85	The proud have digged pits for me, which are not after thy law.
Psalms 119:95	The wicked have waited for me to destroy me: but I will consider thy testimonies.
Psalms 119:105	Thy word is a lamp unto my feet, and a light unto my path.
Psalms 119:115	Depart from me, ye evildoers: for I will keep the commandments of my God.
Psalms 119:125	I am thy servant; give me understanding, that I may know thy testimonies.
Psalms 119:135	Make thy face to shine upon thy servant; and teach me thy statutes.
Psalms 119:145	I cried with my whole heart; hear me, O LORD: I will keep thy statutes.
Psalms 119:155	Salvation is far from the wicked: for they seek not thy statutes.
Psalms 119:165	Great peace have they which love thy law: and nothing shall offend them.
Psalms 119:175	Let my soul live, and it shall praise thee; and let thy judgments help me.
Psalms 121:2	My help cometh from the LORD, which made heaven and earth.
Psalms 122:4	Whither the tribes go up, the tribes of the LORD, unto the testimony of Israel, to give thanks unto the name of the LORD.
Psalms 124:1	If it had not been the LORD who was on our side, now may Israel say;
Psalms 125:3	For the rod of the wicked shall not rest upon the lot of the righteous; lest the righteous put forth their hands unto iniquity.
Psalms 127:2	It is vain for you to rise up early, to sit up late, to eat the bread of sorrows: for so he giveth his beloved sleep.
Psalms 129:1	Many a time have they afflicted me from my youth, may Israel now say:
Psalms 130:3	If thou, LORD, shouldest mark iniquities, O Lord, who shall stand?
Psalms 132:2	How he sware unto the LORD, and vowed unto the mighty God of Jacob;
Psalms 132:12	If thy children will keep my covenant and my testimony that I shall teach them, their children shall also sit upon thy throne for evermore.
Psalms 134:1	Behold, bless ye the LORD, all ye servants of the LORD, which by night stand in the house of the LORD.
Psalms 135:8	Who smote the firstborn of Egypt, both of man and beast.
Psalms 135:18	They that make them are like unto them: so is every one that trusteth in them.
Psalms 136:7	To him that made great lights: for his mercy endureth for ever:
Psalms 136:17	To him which smote great kings: for his mercy endureth for ever:
Psalms 137:1	By the rivers of Babylon, there we sat down, yea, we wept, when we remembered Zion.
Psalms 138:2	I will worship toward thy holy temple, and praise thy name for thy lovingkindness and for thy truth: for thou hast magnified thy word above all thy name.
Psalms 139:4	For there is not a word in my tongue, but, lo, O LORD, thou knowest it altogether.
Psalms 139:14	I will praise thee; for I am fearfully and wonderfully made: marvellous are thy works; and that my soul knoweth right well.
Psalms 139:24	And see if there be any wicked way in me, and lead me in the way everlasting.
Psalms 140:10	Let burning coals fall upon them: let them be cast into the fire; into deep pits, that they rise not up again.
Psalms 141:7	Our bones are scattered at the grave's mouth, as when one cutteth and cleaveth wood upon the earth.
Psalms 142:7	Bring my soul out of prison, that I may praise thy name: the righteous shall compass me about; for thou shalt deal bountifully with me.
Psalms 143:10	Teach me to do thy will; for thou art my God: thy spirit is good; lead me into the land of uprightness.
Psalms 144:8	Whose mouth speaketh vanity, and their right hand is a right hand of falsehood.
Psalms 145:3	Great is the LORD, and greatly to be praised; and his greatness is unsearchable.
Psalms 145:13	Thy kingdom is an everlasting kingdom, and thy dominion endureth throughout all generations.
Psalms 146:2	While I live will I praise the LORD: I will sing praises unto my God while I have any being.
Psalms 147:2	The LORD doth build up Jerusalem: he gathereth together the outcasts of Israel.
Psalms 147:12	Praise the LORD, O Jerusalem; praise thy God, O Zion.
Psalms 148:2	Praise ye him, all his angels: praise ye him, all his hosts.
Psalms 148:12	Both young men, and maidens; old men, and children:
Psalms 149:8	To bind their kings with chains, and their nobles with fetters of iron;
Proverbs 1:3	To receive the instruction of wisdom, justice, and judgment, and equity;
Proverbs 1:13	We shall find all precious substance, we shall fill our houses with spoil:
Proverbs 1:23	Turn you at my reproof: behold, I will pour out my spirit unto you, I will make known my words unto you.
Proverbs 1:33	But whoso hearkeneth unto me shall dwell safely, and shall be quiet from fear of evil.
Proverbs 2:10	When wisdom entereth into thine heart, and knowledge is pleasant unto thy soul;
Proverbs 2:20	That thou mayest walk in the way of good men, and keep the paths of the righteous.
Proverbs 3:8	It shall be health to thy navel, and marrow to thy bones.
Proverbs 3:18	She is a tree of life to them that lay hold upon her: and happy is every one that retaineth her.
Proverbs 3:28	Say not unto thy neighbour, Go, and come again, and to morrow I will give; when thou hast it by thee.
Proverbs 4:3	For I was my father's son, tender and only beloved in the sight of my mother.
Proverbs 4:13	Take fast hold of instruction; let her not go: keep her; for she is thy life.
Proverbs 4:23	Keep thy heart with all diligence; for out of it are the issues of life.
Proverbs 5:6	Lest thou shouldest ponder the path of life, her ways are moveable, that thou canst not know them.
Proverbs 5:16	Let thy fountains be dispersed abroad, and rivers of waters in the streets.
Proverbs 6:3	Do this now, my son, and deliver thyself, when thou art come into the hand of thy friend; go, humble thyself, and make sure thy friend.
Proverbs 6:13	He winketh with his eyes, he speaketh with his feet, he teacheth with his fingers;
Proverbs 6:23	For the commandment is a lamp; and the law is light; and reproofs of instruction are the way of life:
Proverbs 6:33	A wound and dishonour shall he get; and his reproach shall not be wiped away.
Proverbs 7:8	Passing through the street near her corner; and he went the way to her house,
Proverbs 7:18	Come, let us take our fill of love until the morning: let us solace ourselves with loves.
Proverbs 8:1	Doth not wisdom cry? and understanding put forth her voice?
Proverbs 8:11	For wisdom is better than rubies; and all the things that may be desired are not to be compared to it.
Proverbs 8:21	That I may cause those that love me to inherit substance; and I will fill their treasures.
Proverbs 8:31	Rejoicing in the habitable part of his earth; and my delights were with the sons of men.
Proverbs 9:5	Come, eat of my bread, and drink of the wine which I have mingled.
Proverbs 9:15	To call passengers who go right on their ways:
Proverbs 10:7	The memory of the just is blessed: but the name of the wicked shall rot.
Proverbs 10:17	He is in the way of life that keepeth instruction: but he that refuseth reproof erreth.
Proverbs 10:27	The fear of the LORD prolongeth days: but the years of the wicked shall be shortened.
Proverbs 11:5	The righteousness of the perfect shall direct his way: but the wicked shall fall by his own wickedness.
Proverbs 11:15	He that is surety for a stranger shall smart for it: and he that hateth suretiship is sure.
Proverbs 11:25	The liberal soul shall be made fat: and he that watereth shall be watered also himself.
Proverbs 12:4	A virtuous woman is a crown to her husband: but she that maketh ashamed is as rottenness in his bones.
Proverbs 12:14	A man shall be satisfied with good by the fruit of his mouth: and the recompence of a man's hands shall be rendered unto him.
Proverbs 12:24	The hand of the diligent shall bear rule: but the slothful shall be under tribute.
Proverbs 13:6	Righteousness keepeth him that is upright in the way: but wickedness overthroweth the sinner.
Proverbs 13:16	Every prudent man dealeth with knowledge: but a fool layeth open his folly.
Proverbs 14:1	Every wise woman buildeth her house: but the foolish plucketh it down with her hands.
Proverbs 14:11	The house of the wicked shall be overthrown: but the tabernacle of the upright shall flourish.
Proverbs 14:21	He that despiseth his neighbour sinneth: but he that hath mercy on the poor, happy is he.
Proverbs 14:31	He that oppresseth the poor reproacheth his Maker: but he that honoureth him hath mercy on the poor.
Proverbs 15:6	In the house of the righteous is much treasure: but in the revenues of the wicked is trouble.
Proverbs 15:16	Better is little with the fear of the LORD than great treasure and trouble therewith.
Proverbs 15:26	The thoughts of the wicked are an abomination to the LORD: but the words of the pure are pleasant words.
Proverbs 16:3	Commit thy works unto the LORD, and thy thoughts shall be established.
Proverbs 16:13	Righteous lips are the delight of kings; and they love him that speaketh right.
Proverbs 16:23	The heart of the wise teacheth his mouth, and addeth learning to his lips.
Proverbs 16:33	The lot is cast into the lap; but the whole disposing thereof is of the LORD.
Proverbs 17:10	A reproof entereth more into a wise man than an hundred stripes into a fool.
Proverbs 17:20	He that hath a froward heart findeth no good: and he that hath a perverse tongue falleth into mischief.
Proverbs 18:2	A fool hath no delight in understanding, but that his heart may discover itself.
Proverbs 18:12	Before destruction the heart of man is haughty, and before honour is humility.
Proverbs 18:22	Whoso findeth a wife findeth a good thing, and obtaineth favour of the LORD.
Proverbs 19:8	He that getteth wisdom loveth his own soul: he that keepeth understanding shall find good.
Proverbs 19:18	Chasten thy son while there is hope, and let not thy soul spare for his crying.
Proverbs 19:28	An ungodly witness scorneth judgment: and the mouth of the wicked devoureth iniquity.
Proverbs 20:9	Who can say, I have made my heart clean, I am pure from my sin?
Proverbs 20:19	He that goeth about as a talebearer revealeth secrets: therefore meddle not with him that flattereth with his lips.
Proverbs 20:29	The glory of young men is their strength: and the beauty of old men is the grey head.
Proverbs 21:9	It is better to dwell in a corner of the housetop, than with a brawling woman in a wide house.
Proverbs 21:19	It is better to dwell in the wilderness, than with a contentious and an angry woman.
Proverbs 21:29	A wicked man hardeneth his face: but as for the upright, he directeth his way.
Proverbs 22:8	He that soweth iniquity shall reap vanity: and the rod of his anger shall fail.
Proverbs 22:18	For it is a pleasant thing if thou keep them within thee; they shall withal be fitted in thy lips.
Proverbs 22:28	Remove not the ancient landmark, which thy fathers have set.
Proverbs 23:9	Speak not in the ears of a fool: for he will despise the wisdom of thy words.
Proverbs 23:19	Hear thou, my son, and be wise, and guide thine heart in the way.
Proverbs 23:29	Who hath woe? who hath sorrow? who hath contentions? who hath babbling? who hath wounds without cause? who hath redness of eyes?
Proverbs 24:4	And by knowledge shall the chambers be filled with all precious and pleasant riches.
Proverbs 24:14	So shall the knowledge of wisdom be unto thy soul: when thou hast found it, then there shall be a reward, and thy expectation shall not be cut off.
Proverbs 24:24	He that saith unto the wicked, Thou are righteous; him shall the people curse, nations shall abhor him:
Proverbs 24:34	So shall thy poverty come as one that travelleth; and thy want as an armed man.
Proverbs 25:10	Lest he that heareth it put thee to shame, and thine infamy turn not away.
Proverbs 25:20	As he that taketh away a garment in cold weather, and as vinegar upon nitre, so is he that singeth songs to an heavy heart.
Proverbs 26:2	As the bird by wandering, as the swallow by flying, so the curse causeless shall not come.
Proverbs 26:12	Seest thou a man wise in his own conceit? there is more hope of a fool than of him.
Proverbs 26:22	The words of a talebearer are as wounds, and they go down into the innermost parts of the belly.
Proverbs 27:4	Wrath is cruel, and anger is outrageous; but who is able to stand before envy?
Proverbs 27:14	He that blesseth his friend with a loud voice, rising early in the morning, it shall be counted a curse to him.
Proverbs 27:24	For riches are not for ever: and doth the crown endure to every generation?
Proverbs 28:7	Whoso keepeth the law is a wise son: but he that is a companion of riotous men shameth his father.
Proverbs 28:17	A man that doeth violence to the blood of any person shall flee to the pit; let no man stay him.
Proverbs 28:27	He that giveth unto the poor shall not lack: but he that hideth his eyes shall have many a curse.
Proverbs 29:9	If a wise man contendeth with a foolish man, whether he rage or laugh, there is no rest.
Proverbs 29:19	A servant will not be corrected by words: for though he understand he will not answer.
Proverbs 30:2	Surely I am more brutish than any man, and have not the understanding of a man.
Proverbs 30:12	There is a generation that are pure in their own eyes, and yet is not washed from their filthiness.
Proverbs 30:22	For a servant when he reigneth; and a fool when he is filled with meat;
Proverbs 30:32	If thou hast done foolishly in lifting up thyself, or if thou hast thought evil, lay thine hand upon thy mouth.
Proverbs 31:9	Open thy mouth, judge righteously, and plead the cause of the poor and needy.
Proverbs 31:19	She layeth her hands to the spindle, and her hands hold the distaff.
Proverbs 31:29	Many daughters have done virtuously, but thou excellest them all.
Ecclesiastes 1:8	All things are full of labour; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.
Ecclesiastes 1:18	For in much wisdom is much grief: and he that increaseth knowledge increaseth sorrow.
Ecclesiastes 2:10	And whatsoever mine eyes desired I kept not from them, I withheld not my heart from any joy; for my heart rejoiced in all my labour: and this was my portion of all my labour.
Ecclesiastes 2:20	Therefore I went about to cause my heart to despair of all the labour which I took under the sun.
Ecclesiastes 3:4	A time to weep, and a time to laugh; a time to mourn, and a time to dance;
Ecclesiastes 3:14	I know that, whatsoever God doeth, it shall be for ever: nothing can be put to it, nor any thing taken from it: and God doeth it, that men should fear before him.
Ecclesiastes 4:2	Wherefore I praised the dead which are already dead more than the living which are yet alive.
Ecclesiastes 4:12	And if one prevail against him, two shall withstand him; and a threefold cord is not quickly broken.
Ecclesiastes 5:6	Suffer not thy mouth to cause thy flesh to sin; neither say thou before the angel, that it was an error: wherefore should God be angry at thy voice, and destroy the work of thine hands?
Ecclesiastes 5:16	And this also is a sore evil, that in all points as he came, so shall he go: and what profit hath he that hath laboured for the wind?
Ecclesiastes 6:6	Yea, though he live a thousand years twice told, yet hath he seen no good: do not all go to one place?
Ecclesiastes 7:4	The heart of the wise is in the house of mourning; but the heart of fools is in the house of mirth.
Ecclesiastes 7:14	In the day of prosperity be joyful, but in the day of adversity consider: God also hath set the one over against the other, to the end that man should find nothing after him.
Ecclesiastes 7:24	That which is far off, and exceeding deep, who can find it out?
Ecclesiastes 8:5	Whoso keepeth the commandment shall feel no evil thing: and a wise man's heart discerneth both time and judgment.
Ecclesiastes 8:15	Then I commended mirth, because a man hath no better thing under the sun, than to eat, and to drink, and to be merry: for that shall abide with him of his labour the days of his life, which God giveth him under the sun.
Ecclesiastes 9:8	Let thy garments be always white; and let thy head lack no ointment.
Ecclesiastes 9:18	Wisdom is better than weapons of war: but one sinner destroyeth much good.
Ecclesiastes 10:10	If the iron be blunt, and he do not whet the edge, then must he put to more strength: but wisdom is profitable to direct.
Ecclesiastes 10:20	Curse not the king, no not in thy thought; and curse not the rich in thy bedchamber: for a bird of the air shall carry the voice, and that which hath wings shall tell the matter.
Ecclesiastes 11:10	Therefore remove sorrow from thy heart, and put away evil from thy flesh: for childhood and youth are vanity.
Ecclesiastes 12:10	The preacher sought to find out acceptable words: and that which was written was upright, even words of truth.
Song of Solomon 1:6	Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept.
Song of Solomon 1:16	Behold, thou art fair, my beloved, yea, pleasant: also our bed is green.
Song of Solomon 2:9	My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh forth at the windows, shewing himself through the lattice.
Song of Solomon 3:2	I will rise now, and go about the city in the streets, and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not.
Song of Solomon 4:1	Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes within thy locks: thy hair is as a flock of goats, that appear from mount Gilead.
Song of Solomon 4:11	Thy lips, O my spouse, drop as the honeycomb: honey and milk are under thy tongue; and the smell of thy garments is like the smell of Lebanon.
Song of Solomon 5:5	I rose up to open to my beloved; and my hands dropped with myrrh, and my fingers with sweet smelling myrrh, upon the handles of the lock.
Song of Solomon 5:15	His legs are as pillars of marble, set upon sockets of fine gold: his countenance is as Lebanon, excellent as the cedars.
Song of Solomon 6:9	My dove, my undefiled is but one; she is the only one of her mother, she is the choice one of her that bare her. The daughters saw her, and blessed her; yea, the queens and the concubines, and they praised her.
Song of Solomon 7:6	How fair and how pleasant art thou, O love, for delights!
Song of Solomon 8:3	His left hand should be under my head, and his right hand should embrace me.
Song of Solomon 8:13	Thou that dwellest in the gardens, the companions hearken to thy voice: cause me to hear it.
Isaiah 1:9	Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.
Isaiah 1:19	If ye be willing and obedient, ye shall eat the good of the land:
Isaiah 1:29	For they shall be ashamed of the oaks which ye have desired, and ye shall be confounded for the gardens that ye have chosen.
Isaiah 2:8	Their land also is full of idols; they worship the work of their own hands, that which their own fingers have made:
Isaiah 2:18	And the idols he shall utterly abolish.
Isaiah 3:6	When a man shall take hold of his brother of the house of his father, saying, Thou hast clothing, be thou our ruler, and let this ruin be under thy hand:
Isaiah 3:16	Moreover the LORD saith, Because the daughters of Zion are haughty, and walk with stretched forth necks and wanton eyes, walking and mincing as they go, and making a tinkling with their feet:
Isaiah 3:26	And her gates shall lament and mourn; and she being desolate shall sit upon the ground.
Isaiah 5:4	What could have been done more to my vineyard, that I have not done in it? wherefore, when I looked that it should bring forth grapes, brought it forth wild grapes?
Isaiah 5:14	Therefore hell hath enlarged herself, and opened her mouth without measure: and their glory, and their multitude, and their pomp, and he that rejoiceth, shall descend into it.
Isaiah 5:24	Therefore as the fire devoureth the stubble, and the flame consumeth the chaff, so their root shall be as rottenness, and their blossom shall go up as dust: because they have cast away the law of the LORD of hosts, and despised the word of the Holy One of Israel.
Isaiah 6:4	And the posts of the door moved at the voice of him that cried, and the house was filled with smoke.
Isaiah 7:1	And it came to pass in the days of Ahaz the son of Jotham, the son of Uzziah, king of Judah, that Rezin the king of Syria, and Pekah the son of Remaliah, king of Israel, went up toward Jerusalem to war against it, but could not prevail against it.
Isaiah 7:11	Ask thee a sign of the LORD thy God; ask it either in the depth, or in the height above.
Isaiah 7:21	And it shall come to pass in that day, that a man shall nourish a young cow, and two sheep;
Isaiah 8:6	Forasmuch as this people refuseth the waters of Shiloah that go softly, and rejoice in Rezin and Remaliah's son;
Isaiah 8:16	Bind up the testimony, seal the law among my disciples.
Isaiah 9:4	For thou hast broken the yoke of his burden, and the staff of his shoulder, the rod of his oppressor, as in the day of Midian.
Isaiah 9:14	Therefore the LORD will cut off from Israel head and tail, branch and rush, in one day.
Isaiah 10:3	And what will ye do in the day of visitation, and in the desolation which shall come from far? to whom will ye flee for help? and where will ye leave your glory?
Isaiah 10:13	For he saith, By the strength of my hand I have done it, and by my wisdom; for I am prudent: and I have removed the bounds of the people, and have robbed their treasures, and I have put down the inhabitants like a valiant man:
Isaiah 10:23	For the Lord GOD of hosts shall make a consumption, even determined, in the midst of all the land.
Isaiah 10:33	Behold, the Lord, the LORD of hosts, shall lop the bough with terror: and the high ones of stature shall be hewn down, and the haughty shall be humbled.
Isaiah 11:9	They shall not hurt nor destroy in all my holy mountain: for the earth shall be full of the knowledge of the LORD, as the waters cover the sea.
Isaiah 12:3	Therefore with joy shall ye draw water out of the wells of salvation.
Isaiah 13:7	Therefore shall all hands be faint, and every man's heart shall melt:
Isaiah 13:17	Behold, I will stir up the Medes against them, which shall not regard silver; and as for gold, they shall not delight in it.
Isaiah 14:5	The LORD hath broken the staff of the wicked, and the sceptre of the rulers.
Isaiah 14:15	Yet thou shalt be brought down to hell, to the sides of the pit.
Isaiah 14:25	That I will break the Assyrian in my land, and upon my mountains tread him under foot: then shall his yoke depart from off them, and his burden depart from off their shoulders.
Isaiah 15:3	In their streets they shall gird themselves with sackcloth: on the tops of their houses, and in their streets, every one shall howl, weeping abundantly.
Isaiah 16:4	Let mine outcasts dwell with thee, Moab; be thou a covert to them from the face of the spoiler: for the extortioner is at an end, the spoiler ceaseth, the oppressors are consumed out of the land.
Isaiah 16:14	But now the LORD hath spoken, saying, Within three years, as the years of an hireling, and the glory of Moab shall be contemned, with all that great multitude; and the remnant shall be very small and feeble.
Isaiah 17:10	Because thou hast forgotten the God of thy salvation, and hast not been mindful of the rock of thy strength, therefore shalt thou plant pleasant plants, and shalt set it with strange slips:
Isaiah 18:6	They shall be left together unto the fowls of the mountains, and to the beasts of the earth: and the fowls shall summer upon them, and all the beasts of the earth shall winter upon them.
Isaiah 19:9	Moreover they that work in fine flax, and they that weave networks, shall be confounded.
Isaiah 19:19	In that day shall there be an altar to the LORD in the midst of the land of Egypt, and a pillar at the border thereof to the LORD.
Isaiah 20:4	So shall the king of Assyria lead away the Egyptians prisoners, and the Ethiopians captives, young and old, naked and barefoot, even with their buttocks uncovered, to the shame of Egypt.
