Genesis 1:3	And God said, Let there be light: and there was light.
1 Samuel 14:14	And that first slaughter, which Jonathan and his armourbearer made, was about twenty men, within as it were an half acre of land, which a yoke of oxen might plow.
1 Samuel 14:24	And the men of Israel were distressed that day: for Saul had adjured the people, saying, Cursed be the man that eateth any food until evening, that I may be avenged on mine enemies. So none of the people tasted any food.
1 Samuel 14:34	And Saul said, Disperse yourselves among the people, and say unto them, Bring me hither every man his ox, and every man his sheep, and slay them here, and eat; and sin not against the LORD in eating with the blood. And all the people brought every man his ox with him that night, and slew them there.
1 Samuel 14:44	And Saul answered, God do so and more also: for thou shalt surely die, Jonathan.
1 Samuel 15:2	Thus saith the LORD of hosts, I remember that which Amalek did to Israel, how he laid wait for him in the way, when he came up from Egypt.
1 Samuel 15:12	And when Samuel rose early to meet Saul in the morning, it was told Samuel, saying, Saul came to Carmel, and, behold, he set him up a place, and is gone about, and passed on, and gone down to Gilgal.
1 Samuel 15:22	And Samuel said, Hath the LORD as great delight in burnt offerings and sacrifices, as in obeying the voice of the LORD? Behold, to obey is better than sacrifice, and to hearken than the fat of rams.
1 Samuel 15:32	Then said Samuel, Bring ye hither to me Agag the king of the Amalekites. And Agag came unto him delicately. And Agag said, Surely the bitterness of death is past.
1 Samuel 16:7	But the LORD said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the LORD seeth not as man seeth; for man looketh on the outward appearance, but the LORD looketh on the heart.
1 Samuel 16:17	And Saul said unto his servants, Provide me now a man that can play well, and bring him to me.
1 Samuel 17:4	And there went out a champion out of the camp of the Philistines, named Goliath, of Gath, whose height was six cubits and a span.
1 Samuel 17:14	And David was the youngest: and the three eldest followed Saul.
1 Samuel 17:24	And all the men of Israel, when they saw the man, fled from him, and were sore afraid.
1 Samuel 17:34	And David said unto Saul, Thy servant kept his father's sheep, and there came a lion, and a bear, and took a lamb out of the flock:
1 Samuel 17:44	And the Philistine said to David, Come to me, and I will give thy flesh unto the fowls of the air, and to the beasts of the field.
1 Samuel 17:54	And David took the head of the Philistine, and brought it to Jerusalem; but he put his armor in his tent.
1 Samuel 18:6	And it came to pass as they came, when David was returned from the slaughter of the Philistine, that the women came out of all cities of Israel, singing and dancing, to meet king Saul, with tabrets, with joy, and with instruments of music.
1 Samuel 18:16	But all Israel and Judah loved David, because he went out and came in before them.
1 Samuel 18:26	And when his servants told David these words, it pleased David well to be the king's son in law: and the days were not expired.
1 Samuel 19:6	And Saul hearkened unto the voice of Jonathan: and Saul sware, As the LORD liveth, he shall not be slain.
1 Samuel 19:16	And when the messengers were come in, behold, there was an image in the bed, with a pillow of goats' hair for his bolster.
1 Samuel 20:2	And he said unto him, God forbid; thou shalt not die: behold, my father will do nothing either great or small, but that he will show it me: and why should my father hide this thing from me? it is not so.
1 Samuel 20:12	And Jonathan said unto David, O LORD God of Israel, when I have sounded my father about to morrow any time, or the third day, and, behold, if there be good toward David, and I then send not unto thee, and show it thee;
1 Samuel 20:22	But if I say thus unto the young man, Behold, the arrows are beyond thee; go thy way: for the LORD hath sent thee away.
1 Samuel 20:32	And Jonathan answered Saul his father, and said unto him, Wherefore shall he be slain? what hath he done?
1 Samuel 20:42	And Jonathan said to David, Go in peace, forasmuch as we have sworn both of us in the name of the LORD, saying, The LORD be between me and thee, and between my seed and thy seed for ever. And he arose and departed: and Jonathan went into the city.
1 Samuel 21:10	And David arose and fled that day for fear of Saul, and went to Achish the king of Gath.
1 Samuel 22:5	And the prophet Gad said unto David, Abide not in the hold; depart, and get thee into the land of Judah. Then David departed, and came into the forest of Hareth.
1 Samuel 22:15	Did I then begin to inquire of God for him? be it far from me: let not the king impute any thing unto his servant, nor to all the house of my father: for thy servant knew nothing of all this, less or more.
1 Samuel 23:2	Therefore David inquired of the LORD, saying, Shall I go and smite these Philistines? And the LORD said unto David, Go, and smite the Philistines, and save Keilah.
1 Samuel 23:12	Then said David, Will the men of Keilah deliver me and my men into the hand of Saul? And the LORD said, They will deliver thee up.
1 Samuel 23:22	Go, I pray you, prepare yet, and know and see his place where his haunt is, and who hath seen him there: for it is told me that he dealeth very subtilly.
1 Samuel 24:3	And he came to the sheepcotes by the way, where was a cave; and Saul went in to cover his feet: and David and his men remained in the sides of the cave.
1 Samuel 24:13	As saith the proverb of the ancients, Wickedness proceedeth from the wicked: but mine hand shall not be upon thee.
1 Samuel 25:1	And Samuel died; and all the Israelites were gathered together, and lamented him, and buried him in his house at Ramah. And David arose, and went down to the wilderness of Paran.
1 Samuel 25:11	Shall I then take my bread, and my water, and my flesh that I have killed for my shearers, and give it unto men, whom I know not whence they be?
1 Samuel 25:21	Now David had said, Surely in vain have I kept all that this fellow hath in the wilderness, so that nothing was missed of all that pertained unto him: and he hath requited me evil for good.
1 Samuel 25:31	That this shall be no grief unto thee, nor offense of heart unto my lord, either that thou hast shed blood causeless, or that my lord hath avenged himself: but when the LORD shall have dealt well with my lord, then remember thine handmaid.
1 Samuel 25:41	And she arose, and bowed herself on her face to the earth, and said, Behold, let thine handmaid be a servant to wash the feet of the servants of my lord.
1 Samuel 26:7	So David and Abishai came to the people by night: and, behold, Saul lay sleeping within the trench, and his spear stuck in the ground at his bolster: but Abner and the people lay round about him.
1 Samuel 26:17	And Saul knew David's voice, and said, Is this thy voice, my son David? And David said, It is my voice, my lord, O king.
1 Samuel 27:2	And David arose, and he passed over with the six hundred men that were with him unto Achish, the son of Maoch, king of Gath.
1 Samuel 27:12	And Achish believed David, saying, He hath made his people Israel utterly to abhor him; therefore he shall be my servant for ever.
1 Samuel 28:10	And Saul sware to her by the LORD, saying, As the LORD liveth, there shall no punishment happen to thee for this thing.
1 Samuel 28:20	Then Saul fell straightway all along on the earth, and was sore afraid, because of the words of Samuel: and there was no strength in him; for he had eaten no bread all the day, nor all the night.
1 Samuel 29:5	Is not this David, of whom they sang one to another in dances, saying, Saul slew his thousands, and David his ten thousands?
1 Samuel 30:4	Then David and the people that were with him lifted up their voice and wept, until they had no more power to weep.
1 Samuel 30:14	We made an invasion upon the south of the Cherethites, and upon the coast which belongeth to Judah, and upon the south of Caleb; and we burned Ziklag with fire.
1 Samuel 30:24	For who will hearken unto you in this matter? but as his part is that goeth down to the battle, so shall his part be that tarrieth by the stuff: they shall part alike.
1 Samuel 31:3	And the battle went sore against Saul, and the archers hit him; and he was sore wounded of the archers.
1 Samuel 31:13	And they took their bones, and buried them under a tree at Jabesh, and fasted seven days.
2 Samuel 1:10	So I stood upon him, and slew him, because I was sure that he could not live after that he was fallen: and I took the crown that was upon his head, and the bracelet that was on his arm, and have brought them hither unto my lord.
2 Samuel 1:20	Tell it not in Gath, publish it not in the streets of Askelon; lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised triumph.
2 Samuel 2:3	And his men that were with him did David bring up, every man with his household: and they dwelt in the cities of Hebron.
2 Samuel 2:13	And Joab the son of Zeruiah, and the servants of David, went out, and met together by the pool of Gibeon: and they sat down, the one on the one side of the pool, and the other on the other side of the pool.
2 Samuel 2:23	Howbeit he refused to turn aside: wherefore Abner with the hinder end of the spear smote him under the fifth rib, that the spear came out behind him; and he fell down there, and died in the same place: and it came to pass, that as many as came to the place where Asahel fell down and died stood still.
2 Samuel 3:1	Now there was long war between the house of Saul and the house of David: but David waxed stronger and stronger, and the house of Saul waxed weaker and weaker.
2 Samuel 3:11	And he could not answer Abner a word again, because he feared him.
2 Samuel 3:21	And Abner said unto David, I will arise and go, and will gather all Israel unto my lord the king, that they may make a league with thee, and that thou mayest reign over all that thine heart desireth. And David sent Abner away; and he went in peace.
2 Samuel 3:31	And David said to Joab, and to all the people that were with him, Rend your clothes, and gird you with sackcloth, and mourn before Abner. And king David himself followed the bier.
2 Samuel 4:2	And Saul's son had two men that were captains of bands: the name of the one was Baanah, and the name of the other Rechab, the sons of Rimmon a Beerothite, of the children of Benjamin: (for Beeroth also was reckoned to Benjamin.
2 Samuel 4:12	And David commanded his young men, and they slew them, and cut off their hands and their feet, and hanged them up over the pool in Hebron. But they took the head of Ishbosheth, and buried it in the sepulchre of Abner in Hebron.
2 Samuel 5:10	And David went on, and grew great, and the LORD God of hosts was with him.
2 Samuel 5:20	And David came to Baalperazim, and David smote them there, and said, The LORD hath broken forth upon mine enemies before me, as the breach of waters. Therefore he called the name of that place Baalperazim.
2 Samuel 6:5	And David and all the house of Israel played before the LORD on all manner of instruments made of fir wood, even on harps, and on psalteries, and on timbrels, and on cornets, and on cymbals.
2 Samuel 6:15	So David and all the house of Israel brought up the ark of the LORD with shouting, and with the sound of the trumpet.
2 Samuel 7:2	That the king said unto Nathan the prophet, See now, I dwell in an house of cedar, but the ark of God dwelleth within curtains.
2 Samuel 7:12	And when thy days be fulfilled, and thou shalt sleep with thy fathers, I will set up thy seed after thee, which shall proceed out of thy bowels, and I will establish his kingdom.
2 Samuel 7:22	Wherefore thou art great, O LORD God: for there is none like thee, neither is there any God beside thee, according to all that we have heard with our ears.
2 Samuel 8:3	David smote also Hadadezer, the son of Rehob, king of Zobah, as he went to recover his border at the river Euphrates.
2 Samuel 8:13	And David gat him a name when he returned from smiting of the Syrians in the valley of salt, being eighteen thousand men.
2 Samuel 9:5	Then king David sent, and fetched him out of the house of Machir, the son of Ammiel, from Lodebar.
2 Samuel 10:2	Then said David, I will show kindness unto Hanun the son of Nahash, as his father showed kindness unto me. And David sent to comfort him by the hand of his servants for his father. And David's servants came into the land of the children of Ammon.
2 Samuel 10:12	Be of good courage, and let us play the men for our people, and for the cities of our God: and the LORD do that which seemeth him good.
2 Samuel 11:3	And David sent and inquired after the woman. And one said, Is not this Bathsheba, the daughter of Eliam, the wife of Uriah the Hittite?
2 Samuel 11:13	And when David had called him, he did eat and drink before him; and he made him drunk: and at even he went out to lie on his bed with the servants of his lord, but went not down to his house.
2 Samuel 11:23	And the messenger said unto David, Surely the men prevailed against us, and came out unto us into the field, and we were upon them even unto the entering of the gate.
2 Samuel 12:6	And he shall restore the lamb fourfold, because he did this thing, and because he had no pity.
2 Samuel 12:16	David therefore besought God for the child; and David fasted, and went in, and lay all night upon the earth.
2 Samuel 12:26	And Joab fought against Rabbah of the children of Ammon, and took the royal city.
2 Samuel 13:5	And Jonadab said unto him, Lay thee down on thy bed, and make thyself sick: and when thy father cometh to see thee, say unto him, I pray thee, let my sister Tamar come, and give me meat, and dress the meat in my sight, that I may see it, and eat it at her hand.
2 Samuel 13:15	Then Amnon hated her exceedingly; so that the hatred wherewith he hated her was greater than the love wherewith he had loved her. And Amnon said unto her, Arise, be gone.
2 Samuel 13:25	And the king said to Absalom, Nay, my son, let us not all now go, lest we be chargeable unto thee. And he pressed him: howbeit he would not go, but blessed him.
2 Samuel 13:35	And Jonadab said unto the king, Behold, the king's sons come: as thy servant said, so it is.
2 Samuel 14:6	And thy handmaid had two sons, and they two strove together in the field, and there was none to part them, but the one smote the other, and slew him.
2 Samuel 14:16	For the king will hear, to deliver his handmaid out of the hand of the man that would destroy me and my son together out of the inheritance of God.
2 Samuel 14:26	And when he polled his head, (for it was at every year's end that he polled it: because the hair was heavy on him, therefore he polled it:) he weighed the hair of his head at two hundred shekels after the king's weight.
2 Samuel 15:3	And Absalom said unto him, See, thy matters are good and right; but there is no man deputed of the king to hear thee.
2 Samuel 15:13	And there came a messenger to David, saying, The hearts of the men of Israel are after Absalom.
2 Samuel 15:23	And all the country wept with a loud voice, and all the people passed over: the king also himself passed over the brook Kidron, and all the people passed over, toward the way of the wilderness.
2 Samuel 15:33	Unto whom David said, If thou passest on with me, then thou shalt be a burden unto me:
2 Samuel 16:6	And he cast stones at David, and at all the servants of king David: and all the people and all the mighty men were on his right hand and on his left.
2 Samuel 16:16	And it came to pass, when Hushai the Archite, David's friend, was come unto Absalom, that Hushai said unto Absalom, God save the king, God save the king.
2 Samuel 17:3	And I will bring back all the people unto thee: the man whom thou seekest is as if all returned: so all the people shall be in peace.
2 Samuel 17:13	Moreover, if he be gotten into a city, then shall all Israel bring ropes to that city, and we will draw it into the river, until there be not one small stone found there.
2 Samuel 17:23	And when Ahithophel saw that his counsel was not followed, he saddled his ass, and arose, and gat him home to his house, to his city, and put his household in order, and hanged himself, and died, and was buried in the sepulchre of his father.
2 Samuel 18:4	And the king said unto them, What seemeth you best I will do. And the king stood by the gate side, and all the people came out by hundreds and by thousands.
2 Samuel 18:14	Then said Joab, I may not tarry thus with thee. And he took three darts in his hand, and thrust them through the heart of Absalom, while he was yet alive in the midst of the oak.
2 Samuel 18:24	And David sat between the two gates: and the watchman went up to the roof over the gate unto the wall, and lifted up his eyes, and looked, and behold a man running alone.
2 Samuel 19:1	And it was told Joab, Behold, the king weepeth and mourneth for Absalom.
2 Samuel 19:11	And king David sent to Zadok and to Abiathar the priests, saying, Speak unto the elders of Judah, saying, Why are ye the last to bring the king back to his house? seeing the speech of all Israel is come to the king, even to his house.
2 Samuel 19:21	But Abishai the son of Zeruiah answered and said, Shall not Shimei be put to death for this, because he cursed the LORD's anointed?
2 Samuel 19:31	And Barzillai the Gileadite came down from Rogelim, and went over Jordan with the king, to conduct him over Jordan.
2 Samuel 19:41	And, behold, all the men of Israel came to the king, and said unto the king, Why have our brethren the men of Judah stolen thee away, and have brought the king, and his household, and all David's men with him, over Jordan?
2 Samuel 20:8	When they were at the great stone which is in Gibeon, Amasa went before them. And Joab's garment that he had put on was girded unto him, and upon it a girdle with a sword fastened upon his loins in the sheath thereof; and as he went forth it fell out.
2 Samuel 20:18	Then she spake, saying, They were wont to speak in old time, saying, They shall surely ask counsel at Abel: and so they ended the matter.
2 Samuel 21:2	And the king called the Gibeonites, and said unto them; (now the Gibeonites were not of the children of Israel, but of the remnant of the Amorites; and the children of Israel had sworn unto them: and Saul sought to slay them in his zeal to the children of Israel and Judah.)
2 Samuel 21:12	And David went and took the bones of Saul and the bones of Jonathan his son from the men of Jabeshgilead, which had stolen them from the street of Bethshan, where the Philistines had hanged them, when the Philistines had slain Saul in Gilboa:
2 Samuel 21:22	These four were born to the giant in Gath, and fell by the hand of David, and by the hand of his servants.
2 Samuel 22:10	He bowed the heavens also, and came down; and darkness was under his feet.
2 Samuel 22:20	He brought me forth also into a large place: he delivered me, because he delighted in me.
2 Samuel 22:30	For by thee I have run through a troop: by my God have I leaped over a wall.
2 Samuel 22:40	For thou hast girded me with strength to battle: them that rose up against me hast thou subdued under me.
2 Samuel 22:50	Therefore I will give thanks unto thee, O LORD, among the heathen, and I will sing praises unto thy name.
2 Samuel 23:9	And after him was Eleazar the son of Dodo the Ahohite, one of the three mighty men with David, when they defied the Philistines that were there gathered together to battle, and the men of Israel were gone away:
2 Samuel 23:19	Was he not most honorable of three? therefore he was their captain: howbeit he attained not unto the first three.
2 Samuel 23:29	Heleb the son of Baanah, a Netophathite, Ittai the son of Ribai out of Gibeah of the children of Benjamin,
2 Samuel 23:39	Uriah the Hittite: thirty and seven in all.
2 Samuel 24:10	And David's heart smote him after that he had numbered the people. And David said unto the LORD, I have sinned greatly in that I have done: and now, I beseech thee, O LORD, take away the iniquity of thy servant; for I have done very foolishly.
2 Samuel 24:20	And Araunah looked, and saw the king and his servants coming on toward him: and Araunah went out, and bowed himself before the king on his face upon the ground.
1 Kings 1:5	Then Adonijah the son of Haggith exalted himself, saying, I will be king: and he prepared him chariots and horsemen, and fifty men to run before him.
1 Kings 1:15	And Bathsheba went in unto the king into the chamber: and the king was very old; and Abishag the Shunammite ministered unto the king.
1 Kings 1:25	For he is gone down this day, and hath slain oxen and fat cattle and sheep in abundance, and hath called all the king's sons, and the captains of the host, and Abiathar the priest; and, behold, they eat and drink before him, and say, God save king Adonijah.
1 Kings 1:35	Then ye shall come up after him, that he may come and sit upon my throne; for he shall be king in my stead: and I have appointed him to be ruler over Israel and over Judah.
1 Kings 1:45	And Zadok the priest and Nathan the prophet have anointed him king in Gihon: and they are come up from thence rejoicing, so that the city rang again. This is the noise that ye have heard.
1 Kings 2:2	I go the way of all the earth: be thou strong therefore, and show thyself a man;
1 Kings 2:12	Then sat Solomon upon the throne of David his father; and his kingdom was established greatly.
1 Kings 2:22	And king Solomon answered and said unto his mother, And why dost thou ask Abishag the Shunammite for Adonijah? ask for him the kingdom also; for he is mine elder brother; even for him, and for Abiathar the priest, and for Joab the son of Zeruiah.
1 Kings 2:32	And the LORD shall return his blood upon his own head, who fell upon two men more righteous and better than he, and slew them with the sword, my father David not knowing thereof, to wit, Abner the son of Ner, captain of the host of Israel, and Amasa the son of Jether, captain of the host of Judah.
1 Kings 2:42	And the king sent and called for Shimei, and said unto him, Did I not make thee to swear by the LORD, and protested unto thee, saying, Know for a certain, on the day thou goest out, and walkest abroad any whither, that thou shalt surely die? and thou saidst unto me, The word that I have heard is good.
1 Kings 3:6	And Solomon said, Thou hast showed unto thy servant David my father great mercy, according as he walked before thee in truth, and in righteousness, and in uprightness of heart with thee; and thou hast kept for him this great kindness, that thou hast given him a son to sit on his throne, as it is this day.
1 Kings 3:16	Then came there two women, that were harlots, unto the king, and stood before him.
1 Kings 3:26	Then spake the woman whose the living child was unto the king, for her bowels yearned upon her son, and she said, O my lord, give her the living child, and in no wise slay it. But the other said, Let it be neither mine nor thine, but divide it.
1 Kings 4:8	And these are their names: The son of Hur, in mount Ephraim:
1 Kings 4:18	Shimei the son of Elah, in Benjamin:
1 Kings 4:28	Barley also and straw for the horses and dromedaries brought they unto the place where the officers were, every man according to his charge.
1 Kings 5:4	But now the LORD my God hath given me rest on every side, so that there is neither adversary nor evil occurrent.
1 Kings 5:14	And he sent them to Lebanon, ten thousand a month by courses: a month they were in Lebanon, and two months at home: and Adoniram was over the levy.
1 Kings 6:6	The nethermost chamber was five cubits broad, and the middle was six cubits broad, and the third was seven cubits broad: for without in the wall of the house he made narrowed rests round about, that the beams should not be fastened in the walls of the house.
1 Kings 6:16	And he built twenty cubits on the sides of the house, both the floor and the walls with boards of cedar: he even built them for it within, even for the oracle, even for the most holy place.
1 Kings 6:26	The height of the one cherub was ten cubits, and so was it of the other cherub.
1 Kings 6:36	And he built the inner court with three rows of hewed stone, and a row of cedar beams.
1 Kings 7:8	And his house where he dwelt had another court within the porch, which was of the like work. Solomon made also an house for Pharaoh's daughter, whom he had taken to wife, like unto this porch.
1 Kings 7:18	And he made the pillars, and two rows round about upon the one network, to cover the chapiters that were upon the top, with pomegranates: and so did he for the other chapiter.
1 Kings 7:28	And the work of the bases was on this manner: they had borders, and the borders were between the ledges:
1 Kings 7:38	Then made he ten lavers of brass: one laver contained forty baths: and every laver was four cubits: and upon every one of the ten bases one laver.
1 Kings 7:48	And Solomon made all the vessels that pertained unto the house of the LORD: the altar of gold, and the table of gold, whereupon the shewbread was,
1 Kings 8:7	For the cherubim spread forth their two wings over the place of the ark, and the cherubim covered the ark and the staves thereof above.
1 Kings 8:17	And it was in the heart of David my father to build an house for the name of the LORD God of Israel.
1 Kings 8:27	But will God indeed dwell on the earth? behold, the heaven and heaven of heavens cannot contain thee; how much less this house that I have builded?
1 Kings 8:37	If there be in the land famine, if there be pestilence, blasting, mildew, locust, or if there be caterpillar; if their enemy besiege them in the land of their cities; whatsoever plague, whatsoever sickness there be;
1 Kings 8:47	Yet if they shall bethink themselves in the land whither they were carried captives, and repent, and make supplication unto thee in the land of them that carried them captives, saying, We have sinned, and have done perversely, we have committed wickedness;
1 Kings 8:57	The LORD our God be with us, as he was with our fathers: let him not leave us, nor forsake us:
1 Kings 9:1	And it came to pass, when Solomon had finished the building of the house of the LORD, and the king's house, and all Solomon's desire which he was pleased to do,
1 Kings 9:11	(Now Hiram the king of Tyre had furnished Solomon with cedar trees and fir trees, and with gold, according to all his desire,) that then king Solomon gave Hiram twenty cities in the land of Galilee.
1 Kings 9:21	Their children that were left after them in the land, whom the children of Israel also were not able utterly to destroy, upon those did Solomon levy a tribute of bondservice unto this day.
1 Kings 10:3	And Solomon told her all her questions: there was not any thing hid from the king, which he told her not.
1 Kings 10:13	And king Solomon gave unto the queen of Sheba all her desire, whatsoever she asked, beside that which Solomon gave her of his royal bounty. So she turned and went to her own country, she and her servants.
1 Kings 10:23	So king Solomon exceeded all the kings of the earth for riches and for wisdom.
1 Kings 11:4	For it came to pass, when Solomon was old, that his wives turned away his heart after other gods: and his heart was not perfect with the LORD his God, as was the heart of David his father.
1 Kings 11:14	And the LORD stirred up an adversary unto Solomon, Hadad the Edomite: he was of the king's seed in Edom.
1 Kings 11:24	And he gathered men unto him, and became captain over a band, when David slew them of Zobah: and they went to Damascus, and dwelt therein, and reigned in Damascus.
1 Kings 11:34	Howbeit I will not take the whole kingdom out of his hand: but I will make him prince all the days of his life for David my servant's sake, whom I chose, because he kept my commandments and my statutes:
1 Kings 12:1	And Rehoboam went to Shechem: for all Israel were come to Shechem to make him king.
1 Kings 12:11	And now whereas my father did lade you with a heavy yoke, I will add to your yoke: my father hath chastised you with whips, but I will chastise you with scorpions.
1 Kings 12:21	And when Rehoboam was come to Jerusalem, he assembled all the house of Judah, with the tribe of Benjamin, an hundred and fourscore thousand chosen men, which were warriors, to fight against the house of Israel, to bring the kingdom again to Rehoboam the son of Solomon.
1 Kings 12:31	And he made an house of high places, and made priests of the lowest of the people, which were not of the sons of Levi.
1 Kings 13:8	And the man of God said unto the king, If thou wilt give me half thine house, I will not go in with thee, neither will I eat bread nor drink water in this place:
1 Kings 13:18	He said unto him, I am a prophet also as thou art; and an angel spake unto me by the word of the LORD, saying, Bring him back with thee into thine house, that he may eat bread and drink water. But he lied unto him.
1 Kings 13:28	And he went and found his carcass cast in the way, and the ass and the lion standing by the carcass: the lion had not eaten the carcass, nor torn the ass.
1 Kings 14:4	And Jeroboam's wife did so, and arose, and went to Shiloh, and came to the house of Ahijah. But Ahijah could not see; for his eyes were set by reason of his age.
1 Kings 14:14	Moreover the LORD shall raise him up a king over Israel, who shall cut off the house of Jeroboam that day: but what? even now.
1 Kings 14:24	And there were also sodomites in the land: and they did according to all the abominations of the nations which the LORD cast out before the children of Israel.
1 Kings 15:3	And he walked in all the sins of his father, which he had done before him: and his heart was not perfect with the LORD his God, as the heart of David his father.
1 Kings 15:13	And also Maachah his mother, even her he removed from being queen, because she had made an idol in a grove; and Asa destroyed her idol, and burnt it by the brook Kidron.
1 Kings 15:23	The rest of all the acts of Asa, and all his might, and all that he did, and the cities which he built, are they not written in the book of the chronicles of the kings of Judah? Nevertheless in the time of his old age he was diseased in his feet.
1 Kings 15:33	In the third year of Asa king of Judah began Baasha the son of Ahijah to reign over all Israel in Tirzah, twenty and four years.
1 Kings 16:9	And his servant Zimri, captain of half his chariots, conspired against him, as he was in Tirzah, drinking himself drunk in the house of Arza steward of his house in Tirzah.
1 Kings 16:19	For his sins which he sinned in doing evil in the sight of the LORD, in walking in the way of Jeroboam, and in his sin which he did, to make Israel to sin.
1 Kings 16:29	And in the thirty and eighth year of Asa king of Judah began Ahab the son of Omri to reign over Israel: and Ahab the son of Omri reigned over Israel in Samaria twenty and two years.
1 Kings 17:5	So he went and did according unto the word of the LORD: for he went and dwelt by the brook Cherith, that is before Jordan.
1 Kings 17:15	And she went and did according to the saying of Elijah: and she, and he, and her house, did eat many days.
1 Kings 18:1	And it came to pass after many days, that the word of the LORD came to Elijah in the third year, saying, Go, show thyself unto Ahab; and I will send rain upon the earth.
1 Kings 18:11	And now thou sayest, Go, tell thy lord, Behold, Elijah is here.
1 Kings 18:21	And Elijah came unto all the people, and said, How long halt ye between two opinions? if the LORD be God, follow him: but if Baal, then follow him. And the people answered him not a word.
1 Kings 18:31	And Elijah took twelve stones, according to the number of the tribes of the sons of Jacob, unto whom the word of the LORD came, saying, Israel shall be thy name:
1 Kings 18:41	And Elijah said unto Ahab, Get thee up, eat and drink; for there is a sound of abundance of rain.
1 Kings 19:5	And as he lay and slept under a juniper tree, behold, then an angel touched him, and said unto him, Arise and eat.
1 Kings 19:15	And the LORD said unto him, Go, return on thy way to the wilderness of Damascus: and when thou comest, anoint Hazael to be king over Syria:
1 Kings 20:4	And the king of Israel answered and said, My lord, O king, according to thy saying, I am thine, and all that I have.
1 Kings 20:14	And Ahab said, By whom? And he said, Thus saith the LORD, Even by the young men of the princes of the provinces. Then he said, Who shall order the battle? And he answered, Thou.
1 Kings 20:24	And do this thing, Take the kings away, every man out of his place, and put captains in their rooms:
1 Kings 20:34	And Ben-hadad said unto him, The cities, which my father took from thy father, I will restore; and thou shalt make streets for thee in Damascus, as my father made in Samaria. Then said Ahab, I will send thee away with this covenant. So he made a covenant with him, and sent him away.
1 Kings 21:1	And it came to pass after these things, that Naboth the Jezreelite had a vineyard, which was in Jezreel, hard by the palace of Ahab king of Samaria.
1 Kings 21:11	And the men of his city, even the elders and the nobles who were the inhabitants in his city, did as Jezebel had sent unto them, and as it was written in the letters which she had sent unto them.
1 Kings 21:21	Behold, I will bring evil upon thee, and will take away thy posterity, and will cut off from Ahab him that pisseth against the wall, and him that is shut up and left in Israel,
1 Kings 22:2	And it came to pass in the third year, that Jehoshaphat the king of Judah came down to the king of Israel.
1 Kings 22:12	And all the prophets prophesied so, saying, Go up to Ramothgilead, and prosper: for the LORD shall deliver it into the king's hand.
1 Kings 22:22	And the LORD said unto him, Wherewith? And he said, I will go forth, and I will be a lying spirit in the mouth of all his prophets. And he said, Thou shalt persuade him, and prevail also: go forth, and do so.
1 Kings 22:32	And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out.
1 Kings 22:42	Jehoshaphat was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem. And his mother's name was Azubah the daughter of Shilhi.
1 Kings 22:52	And he did evil in the sight of the LORD, and walked in the way of his father, and in the way of his mother, and in the way of Jeroboam the son of Nebat, who made Israel to sin:
2 Kings 1:9	Then the king sent unto him a captain of fifty with his fifty. And he went up to him: and, behold, he sat on the top of an hill. And he spake unto him, Thou man of God, the king hath said, Come down.
2 Kings 2:1	And it came to pass, when the LORD would take up Elijah into heaven by a whirlwind, that Elijah went with Elisha from Gilgal.
2 Kings 2:11	And it came to pass, as they still went on, and talked, that, behold, there appeared a chariot of fire, and horses of fire, and parted them both asunder; and Elijah went up by a whirlwind into heaven.
2 Kings 2:21	And he went forth unto the spring of the waters, and cast the salt in there, and said, Thus saith the LORD, I have healed these waters; there shall not be from thence any more death or barren land.
2 Kings 3:6	And king Jehoram went out of Samaria the same time, and numbered all Israel.
2 Kings 3:16	And he said, Thus saith the LORD, Make this valley full of ditches.
2 Kings 3:26	And when the king of Moab saw that the battle was too sore for him, he took with him seven hundred men that drew swords, to break through even unto the king of Edom: but they could not.
2 Kings 4:9	And she said unto her husband, Behold now, I perceive that this is an holy man of God, which passeth by us continually.
2 Kings 4:19	And he said unto his father, My head, my head. And he said to a lad, Carry him to his mother.
2 Kings 4:29	Then he said to Gehazi, Gird up thy loins, and take my staff in thine hand, and go thy way: if thou meet any man, salute him not; and if any salute thee, answer him not again: and lay my staff upon the face of the child.
2 Kings 4:39	And one went out into the field to gather herbs, and found a wild vine, and gathered thereof wild gourds his lap full, and came and shred them into the pot of pottage: for they knew them not.
2 Kings 5:5	And the king of Syria said, Go to, go, and I will send a letter unto the king of Israel. And he departed, and took with him ten talents of silver, and six thousand pieces of gold, and ten changes of raiment.
2 Kings 5:15	And he returned to the man of God, he and all his company, and came, and stood before him: and he said, Behold, now I know that there is no God in all the earth, but in Israel: now therefore, I pray thee, take a blessing of thy servant.
2 Kings 5:25	But he went in, and stood before his master. And Elisha said unto him, Whence comest thou, Gehazi? And he said, Thy servant went no whither.
2 Kings 6:8	Then the king of Syria warred against Israel, and took counsel with his servants, saying, In such and such a place shall be my camp.
2 Kings 6:18	And when they came down to him, Elisha prayed unto the LORD, and said, Smite this people, I pray thee, with blindness. And he smote them with blindness according to the word of Elisha.
